desired_x,desired_y,desired_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,time
-0.004,-0.513,0.586,-0.00400369,-0.512997,0.586001,3.68579e-06,2.54983e-06,6.6494e-07,2.37271
-0.204,-0.513,0.586,-0.204,-0.513007,0.586011,4.32843e-07,7.20104e-06,1.10091e-05,2.39044
-0.404,-0.513,0.586,-0.404001,-0.512998,0.586005,1.24338e-06,1.57513e-06,5.48691e-06,2.3773
-0.204,-0.513,0.586,-0.204002,-0.512991,0.58599,2.04512e-06,8.77829e-06,9.75034e-06,2.35733
-0.204,-0.313,0.586,-0.204001,-0.313,0.585991,8.03415e-07,1.762e-07,8.94431e-06,2.88435
-0.204,-0.513,0.586,-0.204,-0.513001,0.586011,2.59934e-07,1.13436e-06,1.13715e-05,2.85836
-0.204,-0.713,0.586,-0.203998,-0.712998,0.586007,1.97077e-06,1.69357e-06,7.32931e-06,2.38899
-0.204,-0.513,0.586,-0.204,-0.513002,0.585996,3.26717e-07,2.1874e-06,3.8845e-06,2.39372
-0.204,-0.513,0.786,-0.204,-0.513001,0.786004,3.63525e-07,1.17733e-06,4.36333e-06,2.37437
-0.204,-0.513,0.586,-0.203999,-0.512995,0.585998,5.77722e-07,4.76653e-06,2.37127e-06,2.36188
-0.204,-0.513,0.386,-0.203999,-0.512992,0.386,1.29732e-06,8.12451e-06,3.06006e-07,2.8785
-0.204,-0.513,0.586,-0.204,-0.513003,0.586001,2.22807e-07,3.18876e-06,1.03587e-06,2.89668
-0.31947,-0.62847,0.47053,-0.319474,-0.628466,0.470532,3.56277e-06,4.18625e-06,2.28871e-06,2.35909
-0.204,-0.513,0.586,-0.203997,-0.513001,0.585991,2.71973e-06,1.27353e-06,9.08771e-06,2.39167
-0.31947,-0.62847,0.70147,-0.319477,-0.628469,0.701467,6.45408e-06,9.34653e-07,2.93451e-06,2.39394
-0.204,-0.513,0.586,-0.203997,-0.512998,0.586005,3.09854e-06,2.19911e-06,4.81627e-06,2.38145
-0.31947,-0.39753,0.47053,-0.31947,-0.397524,0.470529,1.5196e-07,5.65092e-06,7.96984e-07,2.3701
-0.204,-0.513,0.586,-0.203997,-0.513,0.586009,3.35659e-06,6.81842e-08,8.57735e-06,2.36347
-0.31947,-0.39753,0.70147,-0.319472,-0.397533,0.701471,1.65862e-06,3.08202e-06,5.41403e-07,2.50171
-0.204,-0.513,0.586,-0.203998,-0.512996,0.585999,2.33897e-06,4.08061e-06,9.19675e-07,2.48919
-0.0885299,-0.62847,0.47053,-0.0885271,-0.628473,0.470542,2.83088e-06,3.22244e-06,1.19086e-05,2.96738
-0.204,-0.513,0.586,-0.204002,-0.513002,0.586001,2.24518e-06,1.57047e-06,1.40317e-06,2.9672
-0.0885299,-0.62847,0.70147,-0.0885293,-0.628469,0.701476,6.19647e-07,1.27111e-06,6.2206e-06,2.35271
-0.204,-0.513,0.586,-0.204003,-0.512999,0.585991,2.95318e-06,6.84336e-07,8.93302e-06,2.37199
-0.0885299,-0.39753,0.47053,-0.088536,-0.397525,0.470525,6.04029e-06,4.99758e-06,4.55275e-06,2.38963
-0.204,-0.513,0.586,-0.204004,-0.513001,0.585998,4.11311e-06,1.14007e-06,1.55667e-06,2.39019
-0.0885299,-0.39753,0.70147,-0.0885291,-0.397533,0.701466,8.8203e-07,2.98599e-06,4.29917e-06,2.49016
-0.204,-0.513,0.586,-0.204004,-0.512996,0.586006,3.51077e-06,3.74347e-06,6.17653e-06,2.50302
