desired_x,desired_y,desired_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,time
-0.194,-0.513,0.586,-0.193995,-0.512991,0.585997,4.92234e-06,8.73173e-06,2.87075e-06,0.382268
-0.204,-0.513,0.586,-0.204008,-0.513001,0.586002,7.52044e-06,7.43237e-07,1.68019e-06,0.363769
-0.214,-0.513,0.586,-0.214009,-0.513,0.586,8.85547e-06,2.80997e-07,6.05822e-08,0.365878
-0.204,-0.513,0.586,-0.203995,-0.512992,0.585997,4.79311e-06,8.29161e-06,3.09952e-06,0.364888
-0.204,-0.503,0.586,-0.204002,-0.502992,0.585993,1.63635e-06,8.04772e-06,6.74389e-06,0.366011
-0.204,-0.513,0.586,-0.203997,-0.513006,0.586003,2.88346e-06,6.30815e-06,3.09856e-06,0.363843
-0.204,-0.523,0.586,-0.203997,-0.523006,0.586006,2.79005e-06,6.08171e-06,6.3734e-06,0.373638
-0.204,-0.513,0.586,-0.204003,-0.512992,0.585992,2.66421e-06,7.84537e-06,7.52637e-06,0.374174
-0.204,-0.513,0.596,-0.203998,-0.512997,0.596019,1.78394e-06,3.3918e-06,1.94238e-05,0.364807
-0.204,-0.513,0.586,-0.204,-0.512997,0.58599,1.30613e-07,3.15442e-06,9.97444e-06,0.363955
-0.204,-0.513,0.576,-0.204,-0.512996,0.575989,7.94765e-08,3.65816e-06,1.09082e-05,0.34393
-0.204,-0.513,0.586,-0.204,-0.512996,0.586017,3.09372e-07,3.89081e-06,1.66099e-05,0.373177
-0.209774,-0.518774,0.580226,-0.209781,-0.518773,0.580227,7.11493e-06,1.13379e-07,1.45493e-07,0.375527
-0.204,-0.513,0.586,-0.203998,-0.512995,0.585994,1.69991e-06,5.49188e-06,6.1216e-06,0.353619
-0.209774,-0.518774,0.591774,-0.20978,-0.518777,0.591781,6.72143e-06,3.06e-06,7.23527e-06,0.344596
-0.204,-0.513,0.586,-0.203999,-0.512992,0.585994,1.32784e-06,8.30679e-06,5.50604e-06,0.374752
-0.209774,-0.507226,0.580226,-0.209776,-0.507224,0.580218,2.68285e-06,2.13982e-06,8.47042e-06,0.354485
-0.204,-0.513,0.586,-0.203993,-0.512997,0.586012,7.35437e-06,2.59496e-06,1.18814e-05,0.353341
-0.209774,-0.507226,0.591774,-0.209776,-0.507222,0.591791,2.96097e-06,4.91074e-06,1.71213e-05,0.363652
-0.204,-0.513,0.586,-0.203993,-0.512998,0.585989,7.40409e-06,1.76381e-06,1.13128e-05,0.353883
-0.198226,-0.518774,0.580226,-0.198219,-0.518772,0.580215,7.58597e-06,1.98956e-06,1.17021e-05,0.344566
-0.204,-0.513,0.586,-0.204003,-0.512996,0.586014,2.64201e-06,3.64363e-06,1.43428e-05,0.343456
-0.198226,-0.518774,0.591774,-0.198218,-0.518773,0.591785,8.99279e-06,7.84919e-07,1.19689e-05,0.353692
-0.204,-0.513,0.586,-0.204001,-0.512997,0.585991,1.45464e-06,2.56408e-06,8.6444e-06,0.344848
-0.198226,-0.507226,0.580226,-0.198224,-0.507218,0.580219,2.74107e-06,8.5946e-06,7.27074e-06,0.354163
-0.204,-0.513,0.586,-0.204006,-0.513003,0.586008,6.22061e-06,3.43147e-06,7.66451e-06,0.363785
-0.198226,-0.507226,0.591774,-0.198226,-0.50722,0.591767,3.54316e-07,6.47887e-06,6.01776e-06,0.393142
-0.204,-0.513,0.586,-0.204007,-0.513,0.585998,7.31478e-06,2.9507e-07,1.9957e-06,0.405242
