desired_x,desired_y,desired_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,time
-0.204,-0.513,0.586,-0.204,-0.513,0.585996,4.69709e-07,3.21472e-07,3.50901e-06,2.84964
-0.204,-0.913,0.586,-0.203995,-0.913002,0.585997,5.17251e-06,1.54029e-06,3.2914e-06,4.71648
-0.604,-1.013,0.586,-0.604012,-1.013,0.585992,1.2302e-05,1.9167e-06,7.6736e-06,4.83783
-0.204,-0.913,0.586,-0.20399,-0.912994,0.586003,9.73504e-06,5.58022e-06,2.97889e-06,4.84739
0.196,-1.013,0.586,0.196011,-1.013,0.586001,1.12818e-05,3.88435e-06,1.00452e-06,4.83718
-0.204,-0.513,0.286,-0.204003,-0.512994,0.285992,3.10987e-06,5.63198e-06,7.71611e-06,8.11971
-0.204,-0.513,0.586,-0.203997,-0.513009,0.586004,3.09495e-06,9.21131e-06,3.63732e-06,7.12703
-0.204,-0.513,0.386,-0.204,-0.512986,0.385982,1.30057e-08,1.42603e-05,1.84375e-05,2.48545
-0.204,-1.013,0.586,-0.203995,-1.013,0.585993,4.99177e-06,2.77339e-06,6.74125e-06,6.2879
-0.204,-0.513,0.586,-0.204002,-0.512992,0.585991,2.12862e-06,7.59598e-06,8.70102e-06,6.03643
