desired_x,desired_y,desired_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,time
-0.004,-0.513,0.586,-0.0039999,-0.512994,0.585997,1.03654e-07,6.44896e-06,2.67846e-06,2.49897
-0.204,-0.513,0.586,-0.204003,-0.513003,0.586,3.16061e-06,2.82768e-06,3.24784e-07,2.47939
-0.404,-0.513,0.586,-0.404007,-0.513003,0.586001,6.51325e-06,2.89362e-06,1.41981e-06,2.46649
-0.204,-0.513,0.586,-0.203998,-0.512994,0.585998,2.39751e-06,6.22923e-06,1.79437e-06,2.46567
-0.204,-0.313,0.586,-0.204,-0.312997,0.585993,2.04205e-07,3.31122e-06,6.62933e-06,2.97597
-0.204,-0.513,0.586,-0.203998,-0.513007,0.586009,2.09464e-06,6.99989e-06,9.20454e-06,2.96059
-0.204,-0.713,0.586,-0.203996,-0.713004,0.586001,3.65473e-06,3.69799e-06,1.0436e-06,2.48648
-0.204,-0.513,0.586,-0.204003,-0.512995,0.585993,2.52759e-06,4.79208e-06,7.2671e-06,2.4864
-0.204,-0.513,0.786,-0.203999,-0.512997,0.786017,7.39968e-07,2.74143e-06,1.70633e-05,2.47732
-0.204,-0.513,0.586,-0.204,-0.512997,0.585985,1.88378e-07,2.98446e-06,1.46992e-05,2.48446
-0.204,-0.513,0.386,-0.204,-0.512994,0.385992,1.22871e-07,5.97977e-06,7.82423e-06,3.01353
-0.204,-0.513,0.586,-0.204,-0.513001,0.586016,4.93584e-07,9.26676e-07,1.58022e-05,3.0202
-0.31947,-0.62847,0.47053,-0.319476,-0.628471,0.470533,6.14851e-06,1.41816e-06,3.33066e-06,2.52578
-0.204,-0.513,0.586,-0.203998,-0.512998,0.585993,1.8925e-06,1.92204e-06,6.56357e-06,2.53417
-0.31947,-0.62847,0.70147,-0.319478,-0.628471,0.701477,8.31018e-06,8.57189e-07,6.68567e-06,2.49726
-0.204,-0.513,0.586,-0.203998,-0.512994,0.585997,2.19897e-06,5.69701e-06,3.04735e-06,2.49848
-0.31947,-0.39753,0.47053,-0.319471,-0.397525,0.470519,5.59045e-07,4.56698e-06,1.04576e-05,2.49323
-0.204,-0.513,0.586,-0.203997,-0.513,0.586015,3.48887e-06,3.19427e-07,1.5423e-05,2.4767
-0.31947,-0.39753,0.70147,-0.319474,-0.397525,0.701483,4.03248e-06,5.16095e-06,1.26257e-05,2.58569
-0.204,-0.513,0.586,-0.203995,-0.512997,0.585991,5.14094e-06,2.64406e-06,9.11599e-06,2.58856
-0.0885299,-0.62847,0.47053,-0.0885256,-0.628473,0.470532,4.36837e-06,3.02772e-06,2.30096e-06,3.03654
-0.204,-0.513,0.586,-0.204003,-0.513001,0.586011,3.44323e-06,1.29537e-06,1.09063e-05,3.02585
-0.0885299,-0.62847,0.70147,-0.0885212,-0.628475,0.701481,8.74989e-06,5.27538e-06,1.09563e-05,2.48597
-0.204,-0.513,0.586,-0.204002,-0.512998,0.585987,2.36096e-06,1.8775e-06,1.30119e-05,2.47589
-0.0885299,-0.39753,0.47053,-0.0885315,-0.397527,0.470522,1.55741e-06,3.06664e-06,7.74761e-06,2.47127
-0.204,-0.513,0.586,-0.204005,-0.513005,0.586006,4.66261e-06,4.8698e-06,6.40336e-06,2.50737
-0.0885299,-0.39753,0.70147,-0.0885308,-0.397529,0.701475,8.90741e-07,1.09619e-06,5.10618e-06,2.60713
-0.204,-0.513,0.586,-0.204005,-0.513,0.586002,4.53169e-06,3.54908e-07,1.81989e-06,2.60659
