timestamp,vx,vy,vz,vmag
0.223347,-1.02147e-05,-0.000210885,-0.0351995,0.0352001
0.284168,-3.96267e-06,-1.13558e-05,-0.0425837,0.0425837
0.345081,-7.34888e-06,-9.02807e-05,-0.038934,0.0389341
0.395751,-4.07994e-06,1.28659e-05,-0.0245367,0.0245367
0.456499,-7.15453e-06,2.16987e-06,-0.00371226,0.00371226
timestamp,vx,vy,vz,vmag
5.37e-06,1.20118e-06,1.02616e-06,2.6872e-06,3.11719e-06
0.101774,3.54732e-06,7.56149e-05,-0.00580291,0.00580341
0.162552,3.26424e-06,2.21014e-05,-0.0160451,0.0160451
0.223514,-1.12232e-05,-0.000228307,-0.0353659,0.0353667
0.284342,1.59196e-06,4.08915e-06,-0.0322585,0.0322585
0.335052,-1.782e-06,-6.84572e-05,-0.0391144,0.0391144
0.395878,3.23602e-06,7.53449e-05,-0.0312291,0.0312291
0.456735,-3.87305e-06,-9.01769e-05,-0.0063837,0.00638434
timestamp,vx,vy,vz,vmag
2.938e-06,2.25822e-06,-1.37258e-06,1.4623e-06,3.02024e-06
0.0409609,-2.33836e-06,-4.93823e-07,4.38686e-06,4.99563e-06
0.102032,-1.28297e-06,-8.38477e-05,0.00550476,0.0055054
0.162825,-1.23373e-06,-2.87256e-05,0.0162198,0.0162198
0.22391,-1.5722e-07,-3.66064e-06,0.0354794,0.0354794
0.274662,-1.56932e-06,-3.65393e-05,0.0418043,0.0418043
0.335384,-1.96498e-06,-4.57517e-05,0.0395574,0.0395574
0.396143,-4.75719e-07,-3.79371e-05,0.0214134,0.0214134
0.457013,4.57768e-06,5.24964e-05,0.0064877,0.00648791
timestamp,vx,vy,vz,vmag
3.271e-06,2.56289e-06,-9.13579e-07,1.22125e-13,2.72086e-06
0.0416215,-1.78885e-05,-3.1117e-05,-3.64729e-05,5.11717e-05
0.0922843,-0.00150783,-0.00156999,-0.00136455,0.00256913
0.153162,-0.0108886,-0.0107922,-0.0110516,0.018899
0.214852,-0.0140184,-0.0139709,-0.01369,0.0240649
0.27563,-0.0250937,-0.025302,-0.0253169,0.0437131
0.336717,-0.0225471,-0.0228508,-0.0227311,0.0393349
0.398081,-0.0180814,-0.0180552,-0.0181386,0.0313358
0.461865,-0.00358631,-0.00344875,-0.00358943,0.00613511
timestamp,vx,vy,vz,vmag
2.347e-06,3.53216e-06,-1.32438e-07,1.61984e-06,3.88813e-06
0.0305965,7.98598e-08,1.49463e-06,1.90865e-06,2.42554e-06
0.0919263,0.00322996,0.00323182,0.00315654,0.00555347
0.152926,0.00932183,0.00930959,0.00933842,0.0161484
0.213925,0.0139085,0.0137564,0.0137034,0.0238845
0.274757,0.025229,0.0253529,0.0257119,0.0440497
0.335568,0.0227026,0.0223795,0.0224363,0.0389825
0.396354,0.0180482,0.0181399,0.0180986,0.0313425
0.457124,0.00390795,0.00380665,0.00391343,0.00671398
timestamp,vx,vy,vz,vmag
0.0305736,-3.33041e-05,-5.44479e-05,9.79566e-05,0.000116915
0.0927659,-0.00320361,-0.00322487,0.00338846,0.00566962
0.143741,-0.00932178,-0.00929103,0.00918073,0.0160469
0.204857,-0.0269901,-0.0269431,0.0269762,0.046713
0.265745,-0.0178599,-0.0180057,0.0179871,0.031092
0.326567,-0.0170092,-0.0171003,0.0168362,0.0294141
0.38781,-0.0177529,-0.0179289,0.0178107,0.0308842
0.448676,-0.00390508,-0.00371832,0.00363724,0.00650423
timestamp,vx,vy,vz,vmag
3.62e-06,2.29363e-06,-9.2748e-07,0,2.47406e-06
0.0411882,1.04532e-06,-2.53495e-06,-1.40331e-06,3.08025e-06
0.0917506,0.00151446,0.00145092,-0.00123425,0.00243354
0.152466,0.00832954,0.00843783,-0.00856587,0.0146271
0.213242,0.016621,0.0164823,-0.0164055,0.0285843
0.274027,0.0252258,0.0253074,-0.0253914,0.0438352
0.334789,0.0227061,0.0223831,-0.0227078,0.0391435
0.395586,0.0150429,0.015093,-0.0149334,0.026021
0.456393,0.00666341,0.00668729,-0.00645839,0.0114382
timestamp,vx,vy,vz,vmag
