timestamp,vx,vy,vz,vmag
4.783e-06,5.74051e-06,-1.27245e-06,2.39289e-06,6.34811e-06
0.0303694,1.19892e-06,9.47004e-07,1.73575e-06,2.31237e-06
0.0916564,0.00289078,-3.58944e-05,-1.60199e-05,0.00289104
0.152713,0.00796987,6.19769e-05,-6.45635e-05,0.00797037
0.213744,0.0123437,0.000126444,-4.507e-05,0.0123445
0.274643,0.0225561,3.31122e-05,8.43662e-06,0.0225561
0.335417,0.0329691,-0.000147676,3.9265e-05,0.0329694
0.39619,0.0396887,-0.000120242,-1.37643e-05,0.0396889
0.457207,0.0471449,-0.000128988,4.70601e-05,0.0471451
0.518107,0.0558382,-0.00010562,6.33981e-06,0.0558383
0.578873,0.0465014,3.34596e-05,3.72657e-05,0.0465014
0.640066,0.0716373,-0.000118328,0.000172323,0.0716376
0.69115,0.0770616,-0.000307033,-3.25382e-05,0.0770622
0.752174,0.0875234,-0.000403869,-0.000112851,0.0875244
0.812967,0.0914529,-0.000344896,0.000106108,0.0914536
0.873812,0.0951901,-0.00024099,0.00013867,0.0951905
0.93463,0.0934583,-0.000604099,-3.26201e-05,0.0934603
0.995382,0.0708742,-2.439e-05,-1.37249e-05,0.0708742
1.05615,0.0946809,-0.00038916,0.000163649,0.0946819
1.11696,0.0935158,-5.39211e-05,6.07432e-07,0.0935158
1.17778,0.0950578,-0.000565901,-0.000152469,0.0950596
1.23854,0.0932857,-0.000160647,5.06313e-05,0.0932858
1.29951,0.0934213,-0.000270897,0.000170481,0.0934218
1.35042,0.070635,-0.000114991,5.92247e-06,0.0706351
1.41122,0.0950748,-0.000508896,-1.82219e-05,0.0950761
1.47199,0.0934754,-0.000466907,-6.05747e-05,0.0934766
1.53275,0.0948976,-0.000272989,7.31054e-05,0.094898
1.59353,0.0933389,-0.000420136,4.72283e-05,0.0933399
1.65436,0.0948554,-0.000132797,1.46673e-05,0.0948555
1.71515,0.0708217,-0.000390048,-4.92455e-06,0.0708227
1.77599,0.0934617,-0.000208779,2.4389e-05,0.093462
1.83696,0.0976522,-0.000545524,-6.23581e-05,0.0976537
1.89777,0.0935003,-0.00011875,0.000102108,0.0935005
1.95854,0.0948912,-0.000337396,-4.03253e-06,0.0948918
2.0193,0.0708485,-3.22313e-05,0.000126787,0.0708486
2.07014,0.0932889,-0.000523984,-8.0744e-05,0.0932904
2.13099,0.0948321,-0.000376015,4.6203e-05,0.0948328
2.19176,0.0931092,-0.000370397,-1.97631e-05,0.0931099
2.25263,0.095061,-0.000470464,-3.82401e-05,0.0950621
2.31347,0.114004,-0.000445845,7.57587e-06,0.114005
2.37555,0.0620043,-0.00021456,-3.78852e-05,0.0620047
2.43627,0.0588288,-4.87483e-05,5.53656e-05,0.0588288
2.49713,0.0690129,-0.000201938,-4.03465e-05,0.0690132
2.55787,0.0618833,-0.000112927,1.63676e-05,0.0618834
2.6189,0.0536088,-5.40721e-05,1.27976e-06,0.0536088
2.68036,0.0445983,-8.88283e-05,-4.42134e-06,0.0445984
2.73129,0.0383953,2.12303e-05,-1.04545e-05,0.0383953
2.79204,0.0233442,6.35671e-05,1.81495e-05,0.0233443
2.85283,0.0229551,-1.48266e-05,-3.9297e-05,0.0229551
2.91374,0.0159081,-7.50317e-05,1.80371e-05,0.0159082
2.97464,0.00604448,-3.4935e-05,-1.76374e-05,0.00604461
timestamp,vx,vy,vz,vmag
