timestamp,vx,vy,vz,vmag
3.737e-06,-2.59641e-06,3.94355e-07,5.10259e-07,2.6753e-06
0.0408293,2.30275e-06,-3.82393e-07,-5.11435e-07,2.38965e-06
0.101925,0.00279781,-0.000126709,-0.0001059,0.00280267
0.15269,0.00810276,8.96654e-05,1.30147e-05,0.00810326
0.213557,0.017692,0.00011986,3.01351e-05,0.0176924
0.274592,0.0171678,8.25463e-05,-2.62289e-05,0.017168
0.335305,0.0348497,-4.99466e-05,6.21363e-05,0.0348498
0.396096,0.0314746,-9.89867e-05,0.000178177,0.0314753
0.457089,0.0265468,-0.000113861,3.09006e-05,0.026547
0.518047,0.0136279,-0.00011164,4.39436e-05,0.0136284
0.578835,0.0117529,-3.81379e-05,2.54794e-05,0.011753
0.639593,0.00271064,7.10929e-05,-0.000123088,0.00271437
timestamp,vx,vy,vz,vmag
2.584e-06,-2.28928e-06,2.99541e-07,5.46953e-07,2.37269e-06
0.0305432,2.25247e-06,-1.92837e-06,1.04001e-06,3.14227e-06
0.0914074,-0.00136202,0.000229499,-0.000208474,0.00139686
0.152161,-0.00715283,-2.16963e-05,-4.21197e-05,0.00715299
0.213017,-0.0147652,-0.000194832,0.000226295,0.0147682
0.273813,-0.0225446,-3.40122e-05,0.000101885,0.0225449
0.334592,-0.0323499,1.78848e-05,2.50202e-05,0.0323499
0.3953,-0.0316171,6.06089e-05,-0.000127019,0.0316174
0.456322,-0.0206304,-0.000104962,4.23677e-05,0.0206307
0.517222,-0.0209678,7.46525e-05,-0.000119009,0.0209683
0.57803,-0.011878,-0.000116261,4.71805e-05,0.0118787
0.639092,-0.00335965,-0.000101565,0.000141601,0.00336416
timestamp,vx,vy,vz,vmag
0.0405393,2.58876e-06,-9.22808e-07,1.22125e-13,2.74832e-06
0.101438,-0.00277524,7.82539e-05,-4.948e-05,0.00277678
0.162629,-0.00788001,-6.71874e-05,7.4515e-05,0.00788065
0.223364,-0.0176321,-8.20193e-05,3.85831e-05,0.0176323
0.284089,-0.0170703,1.42023e-05,3.61821e-05,0.0170704
0.345078,-0.0319086,6.28747e-05,-4.62024e-05,0.0319087
0.405849,-0.0321244,0.000163915,-0.000135515,0.0321251
0.466716,-0.0270103,-1.02967e-06,-6.8861e-05,0.0270104
0.517329,-0.0178473,1.04625e-05,-4.40767e-05,0.0178473
0.578102,-0.0105596,-0.000105537,-5.89802e-05,0.0105603
0.639208,-0.00181036,-0.000133336,0.000204223,0.00182672
timestamp,vx,vy,vz,vmag
0.102075,0.00274357,-0.000217425,0.000301377,0.00276863
0.162868,0.00810218,0.000101624,-0.000156223,0.00810432
0.223832,0.0134346,0.000154424,-0.000128153,0.0134361
0.27478,0.0232372,5.41222e-05,-0.000137428,0.0232377
0.335618,0.0325705,-8.01386e-05,-2.37264e-05,0.0325706
0.396455,0.0315298,-7.18955e-06,0.000106085,0.03153
0.457237,0.0264124,-5.45923e-05,7.1992e-05,0.0264126
0.520111,0.0139453,-0.000110188,5.203e-05,0.0139458
0.58102,0.0118702,-8.00484e-06,2.59313e-06,0.0118702
0.641836,0.0028065,6.82151e-05,-0.000143356,0.00281099
timestamp,vx,vy,vz,vmag
0.0303887,-6.5138e-08,-1.51688e-06,-1.88082e-06,2.41715e-06
0.0914836,4.91875e-05,0.00128028,-2.36461e-05,0.00128144
0.152371,4.96094e-05,0.0071609,5.35998e-05,0.00716127
0.213124,-3.79192e-05,0.0142286,-0.000254856,0.0142309
0.273885,-4.30838e-05,0.0228074,0.000209685,0.0228084
0.334674,-1.90197e-05,0.0315941,-0.000107147,0.0315943
0.395536,-3.85575e-06,0.0246894,-2.40908e-06,0.0246894
0.456287,-7.2187e-06,0.0277471,0.000266203,0.0277484
0.517879,-1.57309e-05,0.0223832,0.000320815,0.0223855
0.568465,-1.48319e-05,0.0115451,-2.34492e-05,0.0115451
0.629384,-4.62592e-05,0.00284092,-1.36373e-05,0.00284133
timestamp,vx,vy,vz,vmag
0.0412952,2.22585e-06,-9.02756e-07,1.11022e-14,2.40195e-06
0.0922539,-4.60823e-05,-0.00118208,-0.00032158,0.00122591
0.154652,-2.80087e-05,-0.00731681,7.0884e-05,0.00731721
0.216478,3.29197e-05,-0.0147825,0.000322301,0.014786
0.277335,3.49427e-05,-0.0229816,-0.000180155,0.0229824
0.338365,1.78717e-07,-0.0321545,-2.22055e-05,0.0321545
0.399249,2.66393e-05,-0.0317683,0.000165052,0.0317687
0.460113,1.08657e-06,-0.0269024,9.15897e-05,0.0269026
0.520953,1.26239e-05,-0.0142589,-0.000240312,0.014261
0.581852,-1.02082e-05,-0.0120607,7.10391e-05,0.0120609
0.632497,3.52686e-05,-0.00326107,0.000203948,0.00326763
timestamp,vx,vy,vz,vmag
4.314e-06,3.18409e-07,4.30823e-07,-1.46521e-06,1.56008e-06
0.041036,1.2186e-06,1.40187e-06,-4.90625e-06,5.24609e-06
0.101775,-1.58787e-05,-0.00136694,-0.000248494,0.00138943
0.162498,7.74021e-06,-0.00744345,9.56242e-05,0.00744407
0.223278,-1.04117e-05,-0.0152666,0.000266864,0.0152689
0.27397,1.56836e-05,-0.0225948,-0.000110825,0.0225951
0.33479,-2.45224e-05,-0.032745,4.17256e-05,0.032745
0.395582,-6.07831e-06,-0.0243691,-0.000183263,0.0243697
0.456333,-1.90068e-05,-0.027512,1.33364e-05,0.027512
0.517105,-1.78421e-05,-0.0203424,-3.89703e-05,0.0203424
0.578105,-1.06355e-05,-0.0116505,0.000108138,0.011651
0.638945,3.64304e-05,-0.00316156,0.000211249,0.00316881
timestamp,vx,vy,vz,vmag
2.639e-06,1.24922e-06,1.72227e-06,-1.30365e-06,2.49525e-06
0.092053,9.83059e-05,0.00275331,9.62489e-05,0.00275675
0.152792,-1.81752e-06,0.00816017,-0.000204606,0.00816273
0.213699,-4.50008e-05,0.0180057,-7.47816e-05,0.0180059
0.274452,-3.85995e-05,0.017269,6.92305e-05,0.0172692
0.335199,-2.24543e-06,0.0321574,0.00016407,0.0321579
0.395983,-2.42643e-05,0.031881,-0.000117219,0.0318813
0.456771,-1.28004e-05,0.0284812,-8.50374e-05,0.0284813
0.517608,-2.78602e-05,0.0164942,0.000268816,0.0164964
0.578397,-1.25787e-05,0.00857618,0.000175236,0.00857798
0.639307,-3.52225e-05,0.00294918,-0.000265709,0.00296134
timestamp,vx,vy,vz,vmag
2.866e-06,-4.41638e-08,-1.02817e-06,1.00279e-06,1.43689e-06
0.0304888,1.13536e-06,-4.51499e-07,0,1.22184e-06
0.0914014,1.51767e-06,6.23716e-05,0.00119761,0.00119924
0.152159,-1.73499e-07,-4.03919e-06,0.00718497,0.00718497
0.212984,1.43384e-06,6.41233e-06,0.0147863,0.0147864
0.27378,5.88118e-06,2.21125e-05,0.0225561,0.0225561
0.334504,9.43331e-06,-4.299e-05,0.0325357,0.0325358
0.395388,1.29907e-05,-2.08893e-05,0.0240714,0.0240714
0.456188,7.50796e-06,-9.48541e-05,0.0281237,0.0281239
0.51689,2.26023e-06,-8.21471e-05,0.0208625,0.0208627
0.577615,2.31e-06,-5.41124e-05,0.0118863,0.0118865
0.638491,5.41289e-06,-8.74173e-06,0.00333083,0.00333085
timestamp,vx,vy,vz,vmag
3.38e-06,-2.44015e-07,1.26975e-06,-4.38338e-06,4.5701e-06
