desired_x,desired_y,desired_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,time
-0.004,-0.513,0.586,-0.00402716,-0.512997,0.585999,2.71629e-05,2.52814e-06,1.30872e-06,2.67733
-0.204,-0.513,0.586,-0.203981,-0.512989,0.585985,1.92613e-05,1.1171e-05,1.45487e-05,2.68154
-0.404,-0.513,0.586,-0.403968,-0.512991,0.585988,3.16734e-05,8.61657e-06,1.19676e-05,2.68458
-0.204,-0.513,0.586,-0.203992,-0.512998,0.586002,7.85766e-06,1.65188e-06,2.27985e-06,2.73375
-0.204,-0.313,0.586,-0.203999,-0.313043,0.586016,1.41776e-06,4.32727e-05,1.58709e-05,2.91862
-0.204,-0.513,0.586,-0.203999,-0.513006,0.585984,1.10255e-06,6.02734e-06,1.64413e-05,2.9162
-0.204,-0.713,0.586,-0.203998,-0.712991,0.585997,1.57997e-06,8.84131e-06,3.12491e-06,2.74303
-0.204,-0.513,0.586,-0.204,-0.513014,0.586008,4.07862e-07,1.37529e-05,7.58658e-06,2.74207
-0.204,-0.513,0.786,-0.204,-0.513003,0.786005,8.86089e-08,2.66442e-06,4.91706e-06,2.73366
-0.204,-0.513,0.586,-0.203999,-0.512999,0.586078,6.41957e-07,9.85705e-07,7.83312e-05,2.68349
-0.204,-0.513,0.386,-0.204,-0.513002,0.386057,9.96358e-09,2.04443e-06,5.65891e-05,2.68145
-0.204,-0.513,0.586,-0.204,-0.512999,0.586016,2.21394e-07,8.99484e-07,1.60732e-05,2.73349
-0.31947,-0.62847,0.47053,-0.31944,-0.628436,0.470541,3.0314e-05,3.38317e-05,1.14592e-05,2.6826
-0.204,-0.513,0.586,-0.204005,-0.513003,0.585994,4.66944e-06,2.91715e-06,5.84509e-06,2.68108
-0.31947,-0.62847,0.70147,-0.319442,-0.628452,0.701443,2.77527e-05,1.82014e-05,2.73741e-05,2.6833
-0.204,-0.513,0.586,-0.203997,-0.512997,0.585997,2.62244e-06,3.47931e-06,3.4421e-06,2.73591
-0.31947,-0.39753,0.47053,-0.319474,-0.397529,0.470529,4.06561e-06,1.35797e-06,5.5961e-07,2.73243
-0.204,-0.513,0.586,-0.204016,-0.51298,0.585975,1.57327e-05,1.96971e-05,2.4946e-05,2.68451
-0.31947,-0.39753,0.70147,-0.319473,-0.397524,0.701481,3.26951e-06,6.32642e-06,1.0679e-05,2.74368
-0.204,-0.513,0.586,-0.203994,-0.513002,0.585982,5.99196e-06,1.76667e-06,1.83756e-05,2.73306
-0.0885299,-0.62847,0.47053,-0.0885909,-0.628407,0.470582,6.09757e-05,6.29991e-05,5.16205e-05,2.68149
-0.204,-0.513,0.586,-0.203947,-0.513048,0.585929,5.30091e-05,4.80024e-05,7.14176e-05,2.68151
-0.0885299,-0.62847,0.70147,-0.088528,-0.628471,0.701467,1.93897e-06,7.28175e-07,2.79843e-06,2.73588
-0.204,-0.513,0.586,-0.203997,-0.513002,0.586007,3.01336e-06,1.67433e-06,6.70787e-06,2.68121
-0.0885299,-0.39753,0.47053,-0.0885481,-0.397548,0.470559,1.81261e-05,1.78549e-05,2.90078e-05,2.67612
-0.204,-0.513,0.586,-0.204004,-0.513002,0.585995,3.73897e-06,2.33987e-06,5.0578e-06,2.68113
-0.0885299,-0.39753,0.70147,-0.0885441,-0.397545,0.701436,1.41546e-05,1.52487e-05,3.38581e-05,2.68154
-0.204,-0.513,0.586,-0.20398,-0.512978,0.586014,1.98727e-05,2.21239e-05,1.43229e-05,2.67225
