desired_x,desired_y,desired_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,time
-0.004,-0.513,0.586,-0.00406027,-0.512997,0.585999,6.02717e-05,2.54749e-06,1.34885e-06,2.67583
-0.204,-0.513,0.586,-0.203975,-0.512987,0.585985,2.48308e-05,1.30604e-05,1.49307e-05,2.6805
-0.404,-0.513,0.586,-0.403973,-0.512988,0.585987,2.67002e-05,1.16696e-05,1.28984e-05,2.68568
-0.204,-0.513,0.586,-0.204006,-0.513004,0.58601,6.12633e-06,4.06588e-06,1.04687e-05,2.67528
-0.204,-0.313,0.586,-0.203999,-0.313009,0.586013,1.05754e-06,8.60024e-06,1.29803e-05,2.9228
-0.204,-0.513,0.586,-0.204,-0.512975,0.585984,7.23719e-09,2.5449e-05,1.55998e-05,2.91517
-0.204,-0.713,0.586,-0.203999,-0.712992,0.585997,8.73367e-07,7.6765e-06,2.70884e-06,2.7453
-0.204,-0.513,0.586,-0.204,-0.513024,0.585999,3.86816e-07,2.39499e-05,1.13883e-06,2.73053
-0.204,-0.513,0.786,-0.204,-0.512998,0.785982,2.70802e-07,2.04991e-06,1.77009e-05,2.68011
-0.204,-0.513,0.586,-0.204,-0.512997,0.586064,1.18168e-07,3.34903e-06,6.42164e-05,2.68057
-0.204,-0.513,0.386,-0.204,-0.513002,0.386102,2.53594e-07,2.07163e-06,0.00010248,2.68484
-0.204,-0.513,0.586,-0.204,-0.512997,0.586013,2.91078e-07,2.52201e-06,1.30992e-05,2.73435
-0.31947,-0.62847,0.47053,-0.319397,-0.628391,0.470566,7.30465e-05,7.92395e-05,3.56695e-05,2.68534
-0.204,-0.513,0.586,-0.20407,-0.51307,0.585927,7.00206e-05,6.96306e-05,7.29521e-05,2.68359
-0.31947,-0.62847,0.70147,-0.319461,-0.628466,0.701461,8.59429e-06,4.06186e-06,9.31003e-06,2.65198
-0.204,-0.513,0.586,-0.204007,-0.513008,0.586015,6.96613e-06,7.55655e-06,1.47588e-05,2.68212
-0.31947,-0.39753,0.47053,-0.319454,-0.397547,0.470562,1.60048e-05,1.67491e-05,3.15936e-05,2.68117
-0.204,-0.513,0.586,-0.204048,-0.512944,0.585935,4.79872e-05,5.64087e-05,6.47581e-05,2.68283
-0.31947,-0.39753,0.70147,-0.319475,-0.397523,0.701476,4.66348e-06,7.22975e-06,5.93337e-06,2.73202
-0.204,-0.513,0.586,-0.20402,-0.51298,0.586038,2.00323e-05,1.95179e-05,3.83945e-05,2.68168
-0.0885299,-0.62847,0.47053,-0.0885574,-0.628441,0.470549,2.75021e-05,2.90506e-05,1.885e-05,2.68548
-0.204,-0.513,0.586,-0.204004,-0.512997,0.586022,3.84236e-06,3.3403e-06,2.19781e-05,2.73325
-0.0885299,-0.62847,0.70147,-0.0885393,-0.628462,0.701456,9.33234e-06,8.06749e-06,1.35734e-05,2.68015
-0.204,-0.513,0.586,-0.203938,-0.51306,0.586065,6.20084e-05,5.98279e-05,6.54707e-05,2.68321
-0.0885299,-0.39753,0.47053,-0.0885281,-0.397525,0.470523,1.83463e-06,5.12416e-06,6.57186e-06,2.73386
-0.204,-0.513,0.586,-0.203941,-0.512949,0.585935,5.93937e-05,5.06999e-05,6.509e-05,2.68178
-0.0885299,-0.39753,0.70147,-0.0885752,-0.397573,0.70141,4.52568e-05,4.30177e-05,5.97489e-05,2.68265
-0.204,-0.513,0.586,-0.204006,-0.513003,0.58599,5.85866e-06,2.68695e-06,9.79004e-06,2.73374
