desired_x,desired_y,desired_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,time
-0.194,-0.513,0.586,-0.194002,-0.513002,0.586,2.24226e-06,1.94455e-06,1.75742e-07,0.694515
-0.204,-0.513,0.586,-0.203998,-0.512999,0.585999,1.58066e-06,6.13508e-07,1.35286e-06,0.703495
-0.214,-0.513,0.586,-0.213998,-0.512999,0.586002,2.02591e-06,7.13043e-07,1.53363e-06,0.70571
-0.204,-0.513,0.586,-0.204002,-0.513001,0.586002,1.52249e-06,8.8032e-07,2.27119e-06,0.692647
-0.204,-0.503,0.586,-0.204,-0.503045,0.586023,1.77349e-07,4.47809e-05,2.29732e-05,0.642749
-0.204,-0.513,0.586,-0.203999,-0.512998,0.585998,1.37528e-06,1.88361e-06,1.81924e-06,0.69113
-0.204,-0.523,0.586,-0.203999,-0.522951,0.585976,1.15827e-06,4.87147e-05,2.44981e-05,0.640437
-0.204,-0.513,0.586,-0.204001,-0.512998,0.585991,1.32639e-06,2.06778e-06,9.47226e-06,0.701688
-0.204,-0.513,0.596,-0.203999,-0.512998,0.595989,5.60108e-07,2.31534e-06,1.06684e-05,0.702428
-0.204,-0.513,0.586,-0.203999,-0.513001,0.586011,8.1304e-07,1.08283e-06,1.07678e-05,0.694072
-0.204,-0.513,0.576,-0.204,-0.513,0.576053,1.58961e-07,1.31782e-07,5.31368e-05,0.641822
-0.204,-0.513,0.586,-0.204,-0.512999,0.585992,8.1496e-08,8.77485e-07,7.71813e-06,0.703602
-0.209774,-0.518774,0.580226,-0.209772,-0.518765,0.580227,1.2568e-06,8.24779e-06,6.20639e-07,0.701721
-0.204,-0.513,0.586,-0.204009,-0.513013,0.585994,9.08778e-06,1.32187e-05,5.84887e-06,0.694762
-0.209774,-0.518774,0.591774,-0.209773,-0.518771,0.591766,4.89174e-07,2.78884e-06,7.24953e-06,0.702188
-0.204,-0.513,0.586,-0.204,-0.513001,0.586,1.29062e-07,1.25037e-06,2.12703e-07,0.693284
-0.209774,-0.507226,0.580226,-0.209772,-0.507229,0.580236,1.74076e-06,2.9507e-06,9.43828e-06,0.700983
-0.204,-0.513,0.586,-0.204049,-0.512948,0.585941,4.94762e-05,5.24822e-05,5.91466e-05,0.642107
-0.209774,-0.507226,0.591774,-0.209767,-0.507235,0.591759,6.32977e-06,8.71503e-06,1.40981e-05,0.693471
-0.204,-0.513,0.586,-0.203999,-0.513,0.586005,1.47131e-06,3.14797e-07,4.70371e-06,0.700781
-0.198226,-0.518774,0.580226,-0.198224,-0.518772,0.580232,2.05648e-06,1.14312e-06,5.51967e-06,0.699751
-0.204,-0.513,0.586,-0.204,-0.513002,0.585992,3.00304e-07,2.11629e-06,7.50628e-06,0.705349
-0.198226,-0.518774,0.591774,-0.198227,-0.518768,0.59176,3.88095e-07,5.08433e-06,1.36492e-05,0.691541
-0.204,-0.513,0.586,-0.204002,-0.513,0.586005,1.62873e-06,3.00096e-07,4.98637e-06,0.703788
-0.198226,-0.507226,0.580226,-0.198231,-0.507235,0.580246,4.32674e-06,8.48028e-06,1.93552e-05,0.694184
-0.204,-0.513,0.586,-0.204003,-0.513002,0.586002,2.62058e-06,2.18244e-06,2.21827e-06,0.701086
-0.198226,-0.507226,0.591774,-0.198224,-0.507229,0.591773,2.08124e-06,2.75672e-06,7.86486e-07,0.702515
-0.204,-0.513,0.586,-0.204,-0.512995,0.585998,4.17841e-07,5.4277e-06,2.08463e-06,0.702763
