desired_x,desired_y,desired_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,time
-0.104,-0.513,0.586,-0.103992,-0.513,0.586001,7.81937e-06,2.2211e-08,1.39472e-06,1.59963
-0.204,-0.513,0.586,-0.204,-0.51299,0.585988,1.68762e-07,9.79878e-06,1.17334e-05,1.59396
-0.304,-0.513,0.586,-0.304008,-0.512992,0.585991,7.62646e-06,7.97453e-06,9.35594e-06,1.59959
-0.204,-0.513,0.586,-0.203992,-0.513003,0.586006,7.69841e-06,2.89518e-06,5.77758e-06,1.59835
-0.204,-0.413,0.586,-0.204,-0.413003,0.586015,3.39597e-07,2.54168e-06,1.53352e-05,1.66515
-0.204,-0.513,0.586,-0.203999,-0.512997,0.585987,9.87062e-07,2.55042e-06,1.29844e-05,1.65816
-0.204,-0.613,0.586,-0.203999,-0.612959,0.585987,9.98095e-07,4.07366e-05,1.29356e-05,1.60419
-0.204,-0.513,0.586,-0.204001,-0.512998,0.586015,1.31051e-06,2.43748e-06,1.4523e-05,1.66286
-0.204,-0.513,0.686,-0.203999,-0.512999,0.685977,7.14288e-07,1.47099e-06,2.2721e-05,1.58975
-0.204,-0.513,0.586,-0.204,-0.512999,0.585996,3.10687e-07,1.45204e-06,3.55171e-06,1.59733
-0.204,-0.513,0.486,-0.204,-0.512996,0.485988,7.54822e-08,3.69313e-06,1.20116e-05,1.59878
-0.204,-0.513,0.586,-0.204,-0.512998,0.585869,2.69892e-07,2.02872e-06,0.000130702,1.60208
-0.261735,-0.570735,0.528265,-0.261738,-0.570734,0.528256,2.47681e-06,1.37765e-06,9.10026e-06,1.59116
-0.204,-0.513,0.586,-0.203997,-0.512992,0.586012,2.66733e-06,8.12161e-06,1.19416e-05,1.59986
-0.261735,-0.570735,0.643735,-0.261737,-0.570737,0.643735,2.10157e-06,2.36677e-06,1.52826e-07,1.59883
-0.204,-0.513,0.586,-0.203997,-0.512995,0.585998,3.45008e-06,4.89827e-06,2.45781e-06,1.6012
-0.261735,-0.455265,0.528265,-0.261738,-0.455261,0.528264,2.47485e-06,4.0335e-06,1.27631e-06,1.59868
-0.204,-0.513,0.586,-0.204054,-0.512942,0.585937,5.35472e-05,5.79137e-05,6.31124e-05,1.54599
-0.261735,-0.455265,0.643735,-0.26173,-0.455271,0.643719,4.79925e-06,6.02848e-06,1.65099e-05,1.58738
-0.204,-0.513,0.586,-0.203994,-0.513002,0.585972,6.15832e-06,1.60475e-06,2.78867e-05,1.61004
-0.146265,-0.570735,0.528265,-0.146285,-0.570713,0.528302,1.9727e-05,2.21309e-05,3.67071e-05,1.59039
-0.204,-0.513,0.586,-0.20399,-0.51301,0.585972,1.04048e-05,9.50169e-06,2.82711e-05,1.60629
-0.146265,-0.570735,0.643735,-0.146261,-0.570734,0.643738,4.33857e-06,5.69566e-07,3.10885e-06,1.5893
-0.204,-0.513,0.586,-0.204004,-0.512995,0.585996,4.06884e-06,4.53757e-06,3.89732e-06,1.60885
-0.146265,-0.455265,0.528265,-0.146274,-0.45528,0.528287,9.35804e-06,1.49995e-05,2.25097e-05,1.59261
-0.204,-0.513,0.586,-0.204006,-0.513002,0.585991,5.95243e-06,2.11143e-06,8.60381e-06,1.59691
-0.146265,-0.455265,0.643735,-0.146262,-0.455261,0.643736,2.96254e-06,3.79963e-06,1.07328e-06,1.59883
-0.204,-0.513,0.586,-0.203881,-0.51288,0.586111,0.000118967,0.000120374,0.000111021,1.53924
