desired_x,desired_y,desired_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,time
-0.004,-0.513,0.586,-0.00400179,-0.512998,0.585999,1.79114e-06,2.09095e-06,1.24901e-06,3.03995
-0.204,-0.513,0.586,-0.203951,-0.512994,0.585993,4.92114e-05,6.41591e-06,6.82686e-06,3.03566
-0.404,-0.513,0.586,-0.403992,-0.512995,0.585995,8.35914e-06,5.14381e-06,5.37928e-06,3.0445
-0.204,-0.513,0.586,-0.204048,-0.513004,0.586006,4.8226e-05,4.07657e-06,5.59964e-06,3.03672
-0.204,-0.313,0.586,-0.203999,-0.313087,0.586016,6.79469e-07,8.71209e-05,1.61046e-05,3.22082
-0.204,-0.513,0.586,-0.203999,-0.51296,0.585982,1.0297e-06,3.95497e-05,1.78873e-05,3.22123
-0.204,-0.713,0.586,-0.203997,-0.712997,0.585997,2.5227e-06,2.7565e-06,3.42511e-06,3.0939
-0.204,-0.513,0.586,-0.204001,-0.513002,0.586008,7.42116e-07,2.12245e-06,7.71876e-06,3.09865
-0.204,-0.513,0.786,-0.204,-0.513001,0.785974,3.36708e-07,1.26864e-06,2.63013e-05,3.04192
-0.204,-0.513,0.586,-0.204,-0.512999,0.586033,9.61925e-08,1.21968e-06,3.33376e-05,3.0356
-0.204,-0.513,0.386,-0.204,-0.513003,0.386037,1.66152e-07,3.27101e-06,3.74974e-05,3.04202
-0.204,-0.513,0.586,-0.204,-0.512999,0.585968,9.27276e-08,1.139e-06,3.1614e-05,3.03679
-0.31947,-0.62847,0.47053,-0.319456,-0.628452,0.470534,1.44213e-05,1.80414e-05,4.29395e-06,3.04627
-0.204,-0.513,0.586,-0.203997,-0.512999,0.586005,3.15938e-06,1.42213e-06,4.70369e-06,3.09225
-0.31947,-0.62847,0.70147,-0.319474,-0.628472,0.70147,3.67326e-06,1.8235e-06,7.76459e-08,3.10372
-0.204,-0.513,0.586,-0.204038,-0.513037,0.586048,3.78201e-05,3.71129e-05,4.75103e-05,3.04199
-0.31947,-0.39753,0.47053,-0.319439,-0.397561,0.47057,3.09385e-05,3.1233e-05,3.99536e-05,3.03633
-0.204,-0.513,0.586,-0.204029,-0.512971,0.585963,2.87266e-05,2.92862e-05,3.74228e-05,3.0375
-0.31947,-0.39753,0.70147,-0.319471,-0.397526,0.701474,1.15231e-06,3.59241e-06,4.22853e-06,3.09801
-0.204,-0.513,0.586,-0.203998,-0.513001,0.585995,2.15533e-06,5.65262e-07,5.26079e-06,3.10045
-0.0885299,-0.62847,0.47053,-0.0885487,-0.628447,0.470545,1.88032e-05,2.32332e-05,1.53638e-05,3.044
-0.204,-0.513,0.586,-0.203983,-0.513017,0.585976,1.74779e-05,1.74357e-05,2.36883e-05,3.04003
-0.0885299,-0.62847,0.70147,-0.0885299,-0.628469,0.701467,5.05145e-08,8.63737e-07,3.3416e-06,3.09042
-0.204,-0.513,0.586,-0.203981,-0.51302,0.58603,1.94516e-05,2.00141e-05,3.00687e-05,3.03669
-0.0885299,-0.39753,0.47053,-0.0885342,-0.397537,0.47054,4.29043e-06,6.648e-06,1.04713e-05,3.04189
-0.204,-0.513,0.586,-0.203983,-0.512984,0.585974,1.66284e-05,1.61347e-05,2.59134e-05,3.03568
-0.0885299,-0.39753,0.70147,-0.0885323,-0.397535,0.701461,2.31458e-06,5.43952e-06,9.5244e-06,3.0481
-0.204,-0.513,0.586,-0.204004,-0.513001,0.585995,3.88931e-06,5.11222e-07,5.48245e-06,3.09097
