desired_x,desired_y,desired_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,time
-0.194,-0.513,0.586,-0.194012,-0.513002,0.586002,1.22297e-05,1.80243e-06,1.90274e-06,0.999582
-0.204,-0.513,0.586,-0.203986,-0.512999,0.585997,1.43171e-05,7.13798e-07,2.65215e-06,0.991614
-0.214,-0.513,0.586,-0.213986,-0.512999,0.585998,1.37066e-05,1.4803e-06,1.86778e-06,0.99613
-0.204,-0.513,0.586,-0.204004,-0.513,0.586001,4.26331e-06,1.04713e-08,1.47039e-06,1.00588
-0.204,-0.503,0.586,-0.204,-0.503017,0.586007,3.92503e-07,1.69996e-05,6.64978e-06,0.999271
-0.204,-0.513,0.586,-0.203999,-0.512984,0.585992,7.44944e-07,1.63251e-05,8.37465e-06,0.99709
-0.204,-0.523,0.586,-0.203999,-0.522992,0.585994,1.19401e-06,7.56939e-06,5.67788e-06,0.999499
-0.204,-0.513,0.586,-0.204,-0.513015,0.586008,1.78521e-07,1.48831e-05,8.04213e-06,0.99769
-0.204,-0.513,0.596,-0.204,-0.512998,0.595988,3.89963e-07,1.95038e-06,1.19651e-05,0.998034
-0.204,-0.513,0.586,-0.203999,-0.513,0.586022,6.32965e-07,4.80061e-07,2.21745e-05,1.00007
-0.204,-0.513,0.576,-0.204,-0.513001,0.576022,2.19024e-07,9.0538e-07,2.18539e-05,0.99758
-0.204,-0.513,0.586,-0.204,-0.513,0.58598,5.04557e-08,1.54747e-07,1.9507e-05,1.00797
-0.209774,-0.518774,0.580226,-0.209754,-0.51875,0.580244,1.94319e-05,2.31771e-05,1.71458e-05,0.99175
-0.204,-0.513,0.586,-0.204008,-0.51301,0.585995,7.62434e-06,1.03008e-05,5.46244e-06,0.997223
-0.209774,-0.518774,0.591774,-0.209771,-0.518769,0.591762,2.46912e-06,4.49459e-06,1.15066e-05,0.998893
-0.204,-0.513,0.586,-0.204008,-0.51301,0.586018,7.63292e-06,1.01393e-05,1.77987e-05,1.00549
-0.209774,-0.507226,0.580226,-0.209766,-0.507235,0.58024,7.60429e-06,8.19517e-06,1.36376e-05,0.998524
-0.204,-0.513,0.586,-0.204007,-0.512992,0.585986,6.97901e-06,8.31556e-06,1.41599e-05,0.998901
-0.209774,-0.507226,0.591774,-0.209766,-0.507235,0.591763,7.74292e-06,8.46233e-06,1.08448e-05,0.997671
-0.204,-0.513,0.586,-0.204007,-0.512991,0.586009,7.00369e-06,8.99703e-06,9.47178e-06,1.0058
-0.198226,-0.518774,0.580226,-0.198233,-0.518764,0.580237,6.67321e-06,9.73676e-06,1.06479e-05,0.997115
-0.204,-0.513,0.586,-0.203998,-0.513003,0.585997,2.18377e-06,3.13858e-06,3.2851e-06,0.989612
-0.198226,-0.518774,0.591774,-0.198228,-0.518768,0.591764,1.85796e-06,5.02814e-06,9.85847e-06,1.00844
-0.204,-0.513,0.586,-0.203998,-0.513003,0.586008,2.2668e-06,3.2418e-06,7.85813e-06,0.997749
-0.198226,-0.507226,0.580226,-0.198229,-0.507231,0.580237,2.61755e-06,4.25237e-06,1.03436e-05,0.998257
-0.204,-0.513,0.586,-0.203991,-0.51299,0.585984,9.28232e-06,9.66653e-06,1.55602e-05,0.998614
-0.198226,-0.507226,0.591774,-0.198226,-0.507229,0.591775,4.46123e-07,2.11283e-06,1.13419e-06,0.999115
-0.204,-0.513,0.586,-0.203997,-0.512995,0.585999,2.8266e-06,4.94035e-06,9.95604e-07,0.996349
